Date,fed_rate
2018-01-05,1.3
2018-01-12,1.3
2018-01-19,1.3
2018-01-26,1.3
2018-02-02,1.3
2018-02-09,1.3
2018-02-16,1.3
2018-02-23,1.3
2018-03-02,1.3
2018-03-09,1.3
2018-03-16,1.3
2018-03-23,1.3
2018-03-30,1.3
2018-04-06,1.3
2018-04-13,1.3
2018-04-20,1.3
2018-04-27,1.3
2018-05-04,1.3
2018-05-11,1.3
2018-05-18,1.3
2018-05-25,1.3
2018-06-01,1.82
2018-06-08,1.82
2018-06-15,1.82
2018-06-22,1.82
2018-06-29,1.82
2018-07-06,1.82
2018-07-13,1.82
2018-07-20,1.82
2018-07-27,1.82
2018-08-03,1.82
2018-08-10,1.82
2018-08-17,1.82
2018-08-24,1.82
2018-08-31,1.82
2018-09-07,1.82
2018-09-14,1.82
2018-09-21,1.82
2018-09-28,1.82
2018-10-05,1.82
2018-10-12,1.82
2018-10-19,1.82
2018-10-26,1.82
2018-11-02,1.82
2018-11-09,1.82
2018-11-16,1.82
2018-11-23,1.82
2018-11-30,1.82
2018-12-07,1.82
2018-12-14,1.82
2018-12-21,1.82
2018-12-28,1.82
2019-01-04,1.82
2019-01-11,1.82
2019-01-18,1.82
2019-01-25,1.82
2019-02-01,2.4
2019-02-08,2.4
2019-02-15,2.4
2019-02-22,2.4
2019-03-01,2.41
2019-03-08,2.41
2019-03-15,2.41
2019-03-22,2.41
2019-03-29,2.41
2019-04-05,2.41
2019-04-12,2.41
2019-04-19,2.41
2019-04-26,2.41
2019-05-03,2.41
2019-05-10,2.41
2019-05-17,2.41
2019-05-24,2.41
2019-05-31,2.41
2019-06-07,2.41
2019-06-14,2.41
2019-06-21,2.41
2019-06-28,2.41
2019-07-05,2.41
2019-07-12,2.41
2019-07-19,2.41
2019-07-26,2.41
2019-08-02,2.41
2019-08-09,2.41
2019-08-16,2.41
2019-08-23,2.41
2019-08-30,2.41
2019-09-06,2.41
2019-09-13,2.41
2019-09-20,2.41
2019-09-27,2.41
2019-10-04,2.41
2019-10-11,2.41
2019-10-18,2.41
2019-10-25,2.41
2019-11-01,1.55
2019-11-08,1.55
2019-11-15,1.55
2019-11-22,1.55
2019-11-29,1.55
2019-12-06,1.55
2019-12-13,1.55
2019-12-20,1.55
2019-12-27,1.55
2020-01-03,1.55
2020-01-10,1.55
2020-01-17,1.55
2020-01-24,1.55
2020-01-31,1.55
2020-02-07,1.55
2020-02-14,1.55
2020-02-21,1.55
2020-02-28,1.55
2020-03-06,1.55
2020-03-13,1.55
2020-03-20,1.55
2020-03-27,1.55
2020-04-03,1.55
2020-04-10,1.55
2020-04-17,1.55
2020-04-24,1.55
2020-05-01,0.05
2020-05-08,0.05
2020-05-15,0.05
2020-05-22,0.05
2020-05-29,0.05
2020-06-05,0.05
2020-06-12,0.05
2020-06-19,0.05
2020-06-26,0.05
2020-07-03,0.05
2020-07-10,0.05
2020-07-17,0.05
2020-07-24,0.05
2020-07-31,0.05
2020-08-07,0.05
2020-08-14,0.05
2020-08-21,0.05
2020-08-28,0.05
2020-09-04,0.05
2020-09-11,0.05
2020-09-18,0.05
2020-09-25,0.05
2020-10-02,0.05
2020-10-09,0.05
2020-10-16,0.05
2020-10-23,0.05
2020-10-30,0.05
2020-11-06,0.05
2020-11-13,0.05
2020-11-20,0.05
2020-11-27,0.05
2020-12-04,0.05
2020-12-11,0.05
2020-12-18,0.05
2020-12-25,0.05
2021-01-01,0.09
2021-01-08,0.09
2021-01-15,0.09
2021-01-22,0.09
2021-01-29,0.09
2021-02-05,0.09
2021-02-12,0.09
2021-02-19,0.09
2021-02-26,0.09
2021-03-05,0.09
2021-03-12,0.09
2021-03-19,0.09
2021-03-26,0.09
2021-04-02,0.09
2021-04-09,0.09
2021-04-16,0.09
2021-04-23,0.09
2021-04-30,0.09
2021-05-07,0.09
2021-05-14,0.09
2021-05-21,0.09
2021-05-28,0.09
2021-06-04,0.09
2021-06-11,0.09
2021-06-18,0.09
2021-06-25,0.09
2021-07-02,0.09
2021-07-09,0.09
2021-07-16,0.09
2021-07-23,0.09
2021-07-30,0.09
2021-08-06,0.09
2021-08-13,0.09
2021-08-20,0.09
2021-08-27,0.09
2021-09-03,0.09
2021-09-10,0.09
2021-09-17,0.09
2021-09-24,0.09
2021-10-01,0.08
2021-10-08,0.08
2021-10-15,0.08
2021-10-22,0.08
2021-10-29,0.08
2021-11-05,0.08
2021-11-12,0.08
2021-11-19,0.08
2021-11-26,0.08
2021-12-03,0.08
2021-12-10,0.08
2021-12-17,0.08
2021-12-24,0.08
2021-12-31,0.08
2022-01-07,0.08
2022-01-14,0.08
2022-01-21,0.08
2022-01-28,0.08
2022-02-04,0.08
2022-02-11,0.08
2022-02-18,0.08
2022-02-25,0.08
2022-03-04,0.08
2022-03-11,0.08
2022-03-18,0.08
2022-03-25,0.08
2022-04-01,0.33
2022-04-08,0.33
2022-04-15,0.33
2022-04-22,0.33
2022-04-29,0.33
2022-05-06,0.33
2022-05-13,0.33
2022-05-20,0.33
2022-05-27,0.33
2022-06-03,0.33
2022-06-10,0.33
2022-06-17,0.33
2022-06-24,0.33
2022-07-01,1.68
2022-07-08,1.68
2022-07-15,1.68
2022-07-22,1.68
2022-07-29,1.68
2022-08-05,1.68
2022-08-12,1.68
2022-08-19,1.68
2022-08-26,1.68
2022-09-02,1.68
2022-09-09,1.68
2022-09-16,1.68
2022-09-23,1.68
2022-09-30,1.68
2022-10-07,1.68
2022-10-14,1.68
2022-10-21,1.68
2022-10-28,1.68
2022-11-04,1.68
2022-11-11,1.68
2022-11-18,1.68
2022-11-25,1.68
2022-12-02,1.68
2022-12-09,1.68
2022-12-16,1.68
2022-12-23,1.68
2022-12-30,1.68
2023-01-06,1.68
2023-01-13,1.68
2023-01-20,1.68
2023-01-27,1.68
2023-02-03,1.68
2023-02-10,1.68
2023-02-17,1.68
2023-02-24,1.68
2023-03-03,1.68
2023-03-10,1.68
2023-03-17,1.68
2023-03-24,1.68
2023-03-31,1.68
2023-04-07,1.68
2023-04-14,1.68
2023-04-21,1.68
2023-04-28,1.68
2023-05-05,1.68
2023-05-12,1.68
2023-05-19,1.68
2023-05-26,1.68
2023-06-02,1.68
2023-06-09,1.68
2023-06-16,1.68
2023-06-23,1.68
2023-06-30,1.68
2023-07-07,1.68
2023-07-14,1.68
2023-07-21,1.68
2023-07-28,1.68
2023-08-04,1.68
2023-08-11,1.68
2023-08-18,1.68
2023-08-25,1.68
2023-09-01,5.33
2023-09-08,5.33
2023-09-15,5.33
2023-09-22,5.33
2023-09-29,5.33
2023-10-06,5.33
2023-10-13,5.33
2023-10-20,5.33
2023-10-27,5.33
2023-11-03,5.33
2023-11-10,5.33
2023-11-17,5.33
2023-11-24,5.33
2023-12-01,5.33
2023-12-08,5.33
2023-12-15,5.33
2023-12-22,5.33
2023-12-29,5.33
2024-01-05,5.33
2024-01-12,5.33
2024-01-19,5.33
2024-01-26,5.33
2024-02-02,5.33
2024-02-09,5.33
2024-02-16,5.33
2024-02-23,5.33
2024-03-01,5.33
2024-03-08,5.33
2024-03-15,5.33
2024-03-22,5.33
2024-03-29,5.33
2024-04-05,5.33
2024-04-12,5.33
2024-04-19,5.33
2024-04-26,5.33
2024-05-03,5.33
2024-05-10,5.33
2024-05-17,5.33
2024-05-24,5.33
2024-05-31,5.33
2024-06-07,5.33
2024-06-14,5.33
2024-06-21,5.33
2024-06-28,5.33
2024-07-05,5.33
2024-07-12,5.33
2024-07-19,5.33
2024-07-26,5.33
2024-08-02,5.33
2024-08-09,5.33
2024-08-16,5.33
2024-08-23,5.33
2024-08-30,5.33
2024-09-06,5.33
2024-09-13,5.33
2024-09-20,5.33
2024-09-27,5.33
2024-10-04,5.33
2024-10-11,5.33
2024-10-18,5.33
2024-10-25,5.33
2024-11-01,4.64
2024-11-08,4.64
2024-11-15,4.64
2024-11-22,4.64
2024-11-29,4.64
2024-12-06,4.64
2024-12-13,4.64
2024-12-20,4.64
2024-12-27,4.64
2025-01-03,4.64
2025-01-10,4.64
2025-01-17,4.64
2025-01-24,4.64
2025-01-31,4.64
2025-02-07,4.64
2025-02-14,4.64
2025-02-21,4.64
2025-02-28,4.64
2025-03-07,4.64
2025-03-14,4.64
2025-03-21,4.64
2025-03-28,4.64
2025-04-04,4.64
2025-04-11,4.64
2025-04-18,4.64
2025-04-25,4.64
2025-05-02,4.64
